and_depth,trial,n_vars,n_ands,n_ors,n_nots,peak_mul,peak_conv,peak_gap,peak_ratio,final_mul,final_conv,final_gap,final_ratio,mul_nodes,conv_nodes,mul_peak_supp,conv_peak_supp,has_gap,formula_len
1,183,10,1,21,14,2.984375,2.984375,0.0,1.0,1.984375,1.984375,0.0,1.0,277,277,128,128,0,154
1,184,10,1,17,9,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,217,217,16,16,0,119
1,185,10,1,13,6,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,165,165,17,17,0,90
1,186,10,1,21,12,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,269,269,9,9,0,148
1,187,10,1,11,6,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,145,145,9,9,0,80
1,188,10,1,17,6,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,205,205,16,16,0,110
1,189,10,1,24,16,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,315,315,5,5,0,175
1,190,10,1,11,5,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,141,141,16,16,0,77
1,191,10,1,14,8,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,183,183,9,9,0,101
1,192,10,1,20,14,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,267,267,5,5,0,149
1,193,10,1,11,6,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,145,145,5,5,0,80
1,194,10,1,20,13,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,263,263,64,64,0,146
1,195,10,1,21,12,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,269,269,17,17,0,148
1,196,10,1,14,10,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,191,191,16,16,0,107
1,197,10,1,12,6,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,155,155,9,9,0,85
1,198,10,1,11,6,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,145,145,9,9,0,80
1,199,10,1,13,6,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,165,165,32,32,0,90
2,0,10,3,27,16,2.96875,2.96875,0.0,1.0,1.875,1.875,0.0,1.0,357,357,65,65,0,200
2,1,10,3,41,13,2.984375,2.984375,0.0,1.0,1.9375,1.9375,0.0,1.0,485,485,128,128,0,261
2,2,10,3,32,21,2.96875,2.96875,0.0,1.0,2.75,2.703125,0.046875,1.017341,427,427,65,65,1,240
2,3,10,3,37,21,2.984375,2.984375,0.0,1.0,1.875,1.875,0.0,1.0,477,477,128,128,0,265
2,4,10,3,24,16,4.0334472656,3.8359375,0.1975097656,1.051489,4.0334472656,3.8359375,0.1975097656,1.051489,327,327,1024,304,1,185
2,5,10,3,35,15,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,433,433,33,33,0,237
2,6,10,3,38,15,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,463,463,17,17,0,252
2,7,10,3,44,25,2.984375,2.984375,0.0,1.0,1.0,1.0,0.0,1.0,563,563,129,129,0,312
2,8,10,3,22,15,3.9799804688,4.16796875,-0.1879882812,0.954897,3.9799804688,4.16796875,-0.1879882812,0.954897,303,303,460,512,1,172
2,9,10,3,38,29,2.984375,2.984375,0.0,1.0,2.958984375,2.7109375,0.248046875,1.091499,519,519,128,128,1,294
2,10,10,3,26,13,3.28125,3.28125,0.0,1.0,3.28125,3.28125,0.0,1.0,335,335,128,128,0,186
2,11,10,3,31,20,3.5234375,3.5546875,-0.03125,0.991209,3.5234375,3.5546875,-0.03125,0.991209,413,413,245,256,1,232
2,12,10,3,37,25,2.9921875,2.9921875,0.0,1.0,1.0,1.0,0.0,1.0,493,493,256,256,0,277
2,13,10,3,33,21,2.9921875,2.9921875,0.0,1.0,1.96875,1.96875,0.0,1.0,437,437,257,257,0,245
2,14,10,3,30,19,2.96875,2.96875,0.0,1.0,2.7109375,2.703125,0.0078125,1.00289,399,399,65,65,1,224
2,15,10,3,40,18,2.998046875,2.998046875,0.0,1.0,2.8479003906,2.857421875,-0.0095214844,0.996668,495,495,1024,1024,1,271
2,16,10,3,40,19,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,499,499,65,65,0,274
2,17,10,3,37,15,2.984375,2.984375,0.0,1.0,1.984375,1.984375,0.0,1.0,453,453,128,128,0,247
2,18,10,3,36,16,2.984375,2.984375,0.0,1.0,1.0,1.0,0.0,1.0,447,447,128,128,0,245
2,19,10,3,34,23,2.9375,2.9375,0.0,1.0,2.6953125,2.625,0.0703125,1.026786,455,455,32,32,1,256
2,20,10,3,31,14,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,389,389,17,17,0,214
